district_id,district_name,dfo_avg_severity,gfd_avg_flooded_fraction,gfd_max_flooded_fraction,gfd_event_count,has_recorded_event,historical_magnitude
5789,Narsingdi,1.0,0.17990109989677502,0.3655817923371375,24.0,True,0.08995054994838751
5790,Netrakona,,0.3586440762104571,0.6577188436791408,28.0,True,0.3586440762104571
5791,Rajbari,,0.2947356868250142,0.965100273552524,71.0,True,0.2947356868250142
5792,Shariatpur,,0.20667333616426498,1.0,48.0,True,0.20667333616426498
5793,Sherpur,1.1,0.11220975333286146,0.4044797167217068,19.0,True,0.10610487666643077
5794,Tangail,1.125,0.19829309111312424,0.8027374381417327,39.0,True,0.1616465455565621
5795,Bagerhat,,0.11993234696015402,0.2019723625116991,33.0,True,0.11993234696015402
5796,Chuadanga,,0.044521299519574,0.0909298730791311,4.0,True,0.044521299519574
5797,Jessore,1.0,0.05897983574271866,0.1362404187698634,26.0,True,0.02948991787135933
5798,Jhenaidah,1.0,0.06792454205543347,0.1444137623490668,8.0,True,0.033962271027716734
5799,Khulna,1.0,0.16932493237884494,0.3041624126760184,33.0,True,0.08466246618942247
5800,Kushtia,,0.13971169759943428,0.3584954717550168,45.0,True,0.13971169759943428
5801,Magura,1.0,0.11126700812361864,0.2715639064075136,14.0,True,0.05563350406180932
5802,Meherpur,,0.02865487475175332,0.0380425893164455,6.0,True,0.02865487475175332
5803,Narail,,0.05742606914701991,0.1294803741529082,14.0,True,0.05742606914701991
5804,Satkhira,1.3333333333333333,0.22690350210464938,0.3721048791400234,33.0,True,0.2801184177189913
5821,Habiganj,1.0,0.2777933805940875,0.6209151476516958,27.0,True,0.13889669029704374
5822,Maulvibazar,1.0,0.139454773793905,0.2692713506093395,27.0,True,0.0697273868969525
5823,Sunamganj,1.0,0.6136329313434769,0.8904554140357234,30.0,True,0.3068164656717384
5824,Sylhet,1.4,0.346388443100031,0.6469245667151782,28.0,True,0.37319422155001547
5805,Bogra,1.0,0.11206423524599837,0.3063703437788369,40.0,True,0.056032117622999186
5808,Joypurhat,,0.12661894707154042,0.300653619953086,9.0,True,0.12661894707154042
5811,Naogaon,,0.11793880640062858,0.3312861198351068,56.0,True,0.11793880640062858
5812,Natore,,0.15089376901269555,0.4083599099830231,60.0,True,0.15089376901269555
5813,Nawabganj,,0.11120162252019904,0.4664948493987702,44.0,True,0.11120162252019904
5815,Pabna,1.0,0.18556287942497762,0.389354734033995,62.0,True,0.09278143971248881
5817,Rajshahi,,0.12874202605629131,0.3588019281642481,52.0,True,0.12874202605629131
5819,Sirajganj,1.0,0.34131334885129244,0.9132130433351746,41.0,True,0.17065667442564622
5806,Dinajpur,1.0,0.13166420297413414,0.5321839892819082,5.0,True,0.06583210148706707
5807,Gaibandha,1.5,0.20935457592813284,0.4685213981152085,44.0,True,0.3546772879640664
5809,Kurigram,1.0,0.25574326932678476,0.691323266539597,45.0,True,0.12787163466339238
5810,Lalmonirhat,,0.049600032427405946,0.3801331049223488,20.0,True,0.049600032427405946
5814,Nilphamari,1.0,0.1600338637832056,0.2952337972779272,2.0,True,0.0800169318916028
5816,Panchagarh,,0.066291088994072,0.1428851898973491,3.0,True,0.066291088994072
5818,Rangpur,1.0,0.08117737697065047,0.4068321596653405,8.0,True,0.040588688485325236
5820,Thakurgaon,,0.2564522787064022,0.2564522787064022,1.0,True,0.2564522787064022
5761,Barguna,,0.05297991952871078,0.0978397658091588,27.0,True,0.05297991952871078
