district,deforested_km2,forest_km2_2016,forest_km2_2024,land_km2,ever_forest_km2,forest_pct_now,forest_loss_pct,protected_loss_km2,forest_km2_per_year,forest_pct_per_year,years_available,trend,recent_loss_km2,loss_rate_all_km2_yr,loss_rate_recent_km2_yr,acceleration,alert,priority,restoration_need,restoration_tier
Feni,249.1930389404297,392.08758544921875,222.22720336914062,854.9580078125,506.9754638671875,25.992762374111486,49.15287951799396,0.0,-21.106366984045835,-5.8626802609176645,9,declining,149.05010986328125,31.149,49.683,1.6,True,High,57.0,Medium
Nawabganj,185.40023803710938,380.317138671875,188.61294555664062,1357.2755126953125,489.8233337402344,13.896437664456807,37.85042999511979,0.0,-16.076939900713775,-4.867153064854714,9,declining,59.544189453125,23.175,19.848,0.86,False,Medium,54.1,Medium
Sylhet,370.8045959472656,589.8078002929688,582.8680419921875,2309.146240234375,934.132568359375,25.241711929558313,39.695072038705696,0.0,-15.89148457844396,-2.3230539806654944,9,declining,143.0868682861328,46.351,47.696,1.03,False,Medium,53.0,Medium
Jessore,505.26873779296875,967.6112060546875,661.2731323242188,2378.435302734375,1130.2249755859375,27.80286399062376,44.70514709082805,0.0,-35.312525431311954,-4.5115620130255385,9,declining,97.7474365234375,63.159,32.582,0.52,False,Medium,52.8,Medium
Narail,166.04685974121094,339.6255187988281,232.99851989746094,911.5109252929688,424.2155456542969,25.561791244857858,39.14209685199193,0.0,-11.06105702717927,-3.6281877771025566,9,declining,42.24410629272461,20.756,14.081,0.68,False,Medium,50.6,Medium
Naogaon,184.6515350341797,180.02392578125,138.88082885742188,2959.6416015625,361.56268310546875,4.692488062882402,51.07040733523829,0.0,3.2363409678122954,2.347379926711589,9,recovering,46.9568977355957,23.081,15.652,0.68,False,Medium,49.4,Low
Kushtia,294.15655517578125,391.48956298828125,323.8697814941406,1464.512939453125,642.3292846679688,22.114504608957525,45.79528945622274,0.0,-2.53486124674395,-0.6513605109356394,9,stable,89.06808471679688,36.77,29.689,0.81,False,Medium,48.6,Low
Gazipur,374.7536926269531,726.6680908203125,572.9400024414062,1604.946044921875,1030.3330078125,35.69839648218801,36.37209424383993,5.506749902852467,-20.430434163405852,-2.722862229107758,9,declining,100.40362548828125,46.844,33.468,0.71,False,Medium,48.3,Low
Gopalganj,433.27728271484375,776.4459838867188,502.7857666015625,1421.24365234375,992.4554443359375,35.37646523679642,43.65710170543265,0.0,-32.008577473953125,-4.5973560192975125,9,declining,126.63348388671875,54.16,42.211,0.78,False,Medium,48.0,Low
Faridpur,333.91552734375,608.087890625,514.8970947265625,1757.586181640625,880.703369140625,29.29569543189797,37.91464175612033,0.0,-13.854016113276844,-2.1779208191029404,9,declining,98.50128173828125,41.739,32.834,0.79,False,Medium,45.8,Low
