district,year,forest_km2,edge_km2,edge_ratio
Feni,2018,395.7208557128906,263.1019592285156,0.6648675586090548
Khagrachhari,2018,2746.469482421875,172.0362091064453,0.06263903903084383
Lakshmipur,2018,677.8977661132812,285.13714599609375,0.42061968669837074
Noakhali,2018,1026.127685546875,577.823486328125,0.5631107068514323
Rangamati,2018,4985.17041015625,347.9494934082031,0.06979691059293144
Dhaka,2018,461.01007080078125,287.53662109375,0.6237100647157114
Faridpur,2018,698.6280517578125,513.259033203125,0.7346670834526584
Gazipur,2018,820.8572387695312,505.74676513671875,0.6161202475290776
Gopalganj,2018,763.4572143554688,526.3441772460938,0.6894219706738219
Jamalpur,2018,259.9151916503906,230.9559326171875,0.8885818914649823
Kishoreganj,2018,396.39068603515625,324.21240234375,0.8179112521200745
Madaripur,2018,508.3432922363281,373.34503173828125,0.7344348542415972
Manikganj,2018,567.814453125,379.8711853027344,0.6690058402213807
Munshiganj,2018,348.1680908203125,232.934326171875,0.6690283581791274
Mymensingh,2018,760.4191284179688,644.7615966796875,0.8479029164101861
Narayanganj,2018,166.74208068847656,128.88027954101562,0.7729319378100004
Narsingdi,2018,570.0393676757812,310.8006591796875,0.5452266576726332
Netrakona,2018,93.9428939819336,91.39419555664062,0.9728697050169317
Rajbari,2018,243.74838256835938,185.41915893554688,0.7606990330840286
Shariatpur,2018,493.7378234863281,328.9697570800781,0.6662842938731987
Sherpur,2018,204.9120330810547,148.14639282226562,0.7229755646593241
Tangail,2018,1191.0157470703125,766.3327026367188,0.6434278509933737
Bagerhat,2018,1467.2587890625,1008.9246215820312,0.6876255430214053
Chuadanga,2018,541.2957763671875,395.51495361328125,0.7306817656470758
Jessore,2018,795.42724609375,641.3424682617188,0.8062867740717664
Jhenaidah,2018,618.722900390625,449.7254943847656,0.7268609164148209
Khulna,2018,895.131591796875,709.5791015625,0.79270925980626
Kushtia,2018,408.9122619628906,326.2091369628906,0.7977484837382904
Magura,2018,256.81573486328125,217.37701416015625,0.8464318367247994
Meherpur,2018,261.5070495605469,206.35260009765625,0.7890900090243239
Narail,2018,317.492431640625,241.33750915527344,0.7601362587075695
Satkhira,2018,815.5105590820312,627.9221801757812,0.7699743101825605
Habiganj,2018,519.9923706054688,169.48292541503906,0.3259334847888182
Maulvibazar,2018,1141.90673828125,292.7475280761719,0.25636728312576834
Sunamganj,2018,134.10519409179688,122.65383911132812,0.9146091614271843
Sylhet,2018,792.8916015625,519.43310546875,0.6551123816233353
Bogra,2018,119.34587097167969,115.65692138671875,0.969090262152125
Joypurhat,2018,32.77134704589844,31.75223159790039,0.9689022411385559
Naogaon,2018,126.50334167480469,117.19707489013672,0.9264346169716916
Natore,2018,452.9220275878906,372.90081787109375,0.8233223273706454
Nawabganj,2018,372.98822021484375,230.5179443359375,0.6180300927550945
Pabna,2018,492.54266357421875,378.998291015625,0.7694730203985988
Rajshahi,2018,430.625732421875,278.97027587890625,0.6478253733467207
Sirajganj,2018,202.8120880126953,189.95169067382812,0.9365895915530332
Dinajpur,2018,163.25050354003906,151.99130249023438,0.9310311404519298
Gaibandha,2018,67.91707611083984,65.82703399658203,0.9692265592993595
Kurigram,2018,268.92938232421875,237.31735229492188,0.8824523012097439
Lalmonirhat,2018,289.0473937988281,250.86895751953125,0.867916344868107
Nilphamari,2018,178.51174926757812,172.89773559570312,0.9685510130570737
Panchagarh,2018,148.26255798339844,135.1667022705078,0.9116711873111145
Rangpur,2018,285.4992370605469,260.4380187988281,0.9122196664350317
Thakurgaon,2018,230.3517608642578,214.3876190185547,0.930696679783097
Barguna,2018,209.4425506591797,194.4557342529297,0.9284442614020795
Barisal,2019,1063.131103515625,634.8735961914062,0.5971733816196032
Bhola,2019,561.0367431640625,395.2066345214844,0.7044220175182272
Jhalokati,2019,422.14996337890625,258.0010986328125,0.6111598271092119
Patuakhali,2019,136.4413299560547,128.5248260498047,0.9419786958335882
Pirojpur,2019,652.5081176757812,418.1537170410156,0.640840635868975
Bandarban,2019,4582.8115234375,182.30355834960938,0.039779850735136964
Brahamanbaria,2019,208.141845703125,169.61172485351562,0.814885273456423
Chandpur,2019,825.767822265625,517.9276123046875,0.6272073073562868
Chittagong,2019,2888.377197265625,1027.494873046875,0.35573431130102606
Comilla,2019,851.7221069335938,755.3024291992188,0.8867944404055575
Cox's Bazar,2019,955.74658203125,357.6177062988281,0.3741762858714938
Feni,2019,411.14520263671875,268.5687255859375,0.6532211098745094
Khagrachhari,2019,2747.567626953125,170.4813690185547,0.062048106603879126
Lakshmipur,2019,680.9421997070312,289.395751953125,0.4249931228783217
Noakhali,2019,987.2744140625,572.5321044921875,0.5799118222220464
Rangamati,2019,4996.92138671875,347.0769958496094,0.06945816613647368
Dhaka,2019,466.7676696777344,288.04034423828125,0.6170957479491885
Faridpur,2019,729.9661865234375,525.1199340820312,0.7193756968154729
Gazipur,2019,865.7144165039062,493.7809143066406,0.5703739072530654
Gopalganj,2019,773.2459716796875,537.21435546875,0.6947522200494409
Jamalpur,2019,216.4905242919922,194.8297576904297,0.8999458906000547
Kishoreganj,2019,328.8771667480469,273.42901611328125,0.8314016409742289
Madaripur,2019,504.2599182128906,376.963623046875,0.7475581727432218
Manikganj,2019,561.169921875,368.77728271484375,0.6571579629262249
Munshiganj,2019,329.20135498046875,226.68734741210938,0.6885978565475788
Mymensingh,2019,625.3589477539062,527.4332885742188,0.8434088781628442
Narayanganj,2019,165.82247924804688,125.15634155273438,0.7547610077974909
Narsingdi,2019,535.6180419921875,304.636962890625,0.5687578442233812
Netrakona,2019,87.41854858398438,83.79566192626953,0.9585570028741179
Rajbari,2019,283.98138427734375,201.8981170654297,0.7109554648421976
Shariatpur,2019,484.99603271484375,334.998046875,0.6907232725179095
Sherpur,2019,191.95730590820312,138.1868438720703,0.7198832220439337
Tangail,2019,1184.4024658203125,719.7236938476562,0.6076681825794565
Bagerhat,2019,1445.2193603515625,1001.2244873046875,0.6927837494933161
Chuadanga,2019,606.0160522460938,409.7660217285156,0.6761636432067908
Jessore,2019,839.7667236328125,663.257568359375,0.7898116818562865
