district,deforested_km2,forest_km2_2016,forest_km2_2024,land_km2,ever_forest_km2,forest_pct_now,forest_loss_pct,protected_loss_km2,forest_km2_per_year,forest_pct_per_year,years_available,trend,recent_loss_km2,loss_rate_all_km2_yr,loss_rate_recent_km2_yr,acceleration,alert,priority,restoration_need,restoration_tier,projected_loss_pct,projected_lo,projected_hi,projected_loss_km2,risk_tier,edge_ratio,nbr_loss_pct,net_change_km2
Netrakona,106.88179779052734,81.17794036865234,60.64850616455078,1769.50732421875,159.63592529296875,3.4274232909054234,66.95347403435322,0.0,-4.893132019042167,-6.634662088717681,9,declining,19.968881607055664,13.36,6.656,0.5,False,Medium,76.6,High,50.49,33.65,67.33,30.62,High,0.951459250418998,-5.509710431717355,-20.529434204101562
Rajbari,108.95713806152344,230.4181671142578,250.8362274169922,942.4078369140625,378.5025634765625,26.616526050797873,28.7863672733805,0.0,6.6687929789223,2.5372513361207307,9,recovering,27.700986862182617,13.62,9.234,0.68,False,Medium,20.5,Low,4.82,-12.02,21.66,12.09,High,0.7699790550443363,16.739503008751438,20.418060302734375
Shariatpur,203.40904235839844,497.79779052734375,437.9591369628906,924.7020874023438,633.8303833007812,47.362187555258735,32.09203088357972,0.0,-6.3758097330719705,-1.3376931122144928,9,declining,51.00395202636719,25.426,17.001,0.67,False,Medium,33.3,Low,11.14,-5.7,27.98,48.79,High,0.7057879757188413,25.74470274139503,-59.838653564453125
Sherpur,185.3758544921875,188.49679565429688,126.48430633544922,1218.002685546875,280.9599609375,10.38456711437041,65.97945624480802,0.0,-14.461214955645753,-9.67598106400355,9,declining,26.215486526489258,23.172,8.738,0.38,False,Medium,71.7,Medium,31.78,14.94,48.62,40.2,High,0.6455597355884721,-26.296798756024323,-62.012489318847656
Tangail,811.6693115234375,1114.77197265625,846.7919311523438,3063.262939453125,1625.826416015625,27.643462147703158,49.92349143351826,4.132664516410904,-46.21506449380716,-4.431536249274926,9,declining,171.390869140625,101.459,57.13,0.56,False,Medium,65.8,Medium,8.96,-7.89,25.8,75.87,High,0.6968424529072307,13.217157467736564,-267.98004150390625
Bagerhat,711.3568725585938,1466.984619140625,1354.5845947265625,2798.992919921875,1920.4246826171875,48.39542769419979,37.04164391332153,84.35711361502304,-9.435693359373722,-0.6612049872343522,9,stable,223.32339477539062,88.92,74.441,0.84,False,Medium,37.2,Low,11.87,-4.97,28.71,160.79,High,0.6697807296311886,19.615421385479014,-112.4000244140625
Chuadanga,311.9205322265625,543.5955200195312,397.4093933105469,1114.0633544921875,763.7890014648438,35.67206404448103,40.83857343171232,0.0,-13.088374328610247,-2.44110104578347,9,declining,146.47573852539062,38.99,48.825,1.25,False,Medium,45.6,Low,-14.74,-31.58,2.1,-58.58,Low,0.8153298596539431,24.623178728276184,-146.18612670898438
Jessore,505.26873779296875,967.6112060546875,661.2731323242188,2378.435302734375,1130.2249755859375,27.80286399062376,44.70514709082805,0.0,-35.312525431311954,-4.5115620130255385,9,declining,97.7474365234375,63.159,32.582,0.52,False,Medium,52.8,Medium,7.75,-9.09,24.6,51.25,High,0.8150694382719177,21.148735944903155,-306.33807373046875
Jhenaidah,358.8949890136719,734.3054809570312,572.4783935546875,1927.4580078125,949.8067016601562,29.701212230527478,37.78610830881309,0.0,-10.65798645019468,-1.6231932857367113,9,declining,80.01610565185547,44.862,26.672,0.59,False,Medium,43.4,Low,15.44,-1.4,32.28,88.39,High,0.7940499084917872,19.87142298042172,-161.82708740234375
Khulna,742.2999877929688,831.65478515625,732.9422607421875,2545.097900390625,1336.10791015625,28.798195174719783,55.55688894216345,158.71396571708368,-22.84326477050151,-2.674103418472683,9,declining,236.703125,92.787,78.901,0.85,False,Medium,69.8,Medium,22.68,5.84,39.52,166.23,High,0.7277650062963598,17.25173821647701,-98.7125244140625
